"Z","X","Y","zenith","azimuth","roll","Z_ground","intervalCentre","Created","intervalNo","Label"
206.827763108502,284585.865136348,5712826.1425629,45,312.35,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000064.png"
206.827763108502,284606.31051856,5712853.21662443,45,301.76,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000065.png"
206.827763108502,284621.432933537,5712883.58652773,45,291.18,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000066.png"
206.827763108502,284630.717405573,5712916.21806218,45,280.59,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000067.png"
210.487763108502,284633.847763108,5713100,45,270,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000068.png"
210.487763108502,284630.717405573,5713133.78193782,45,259.41,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000069.png"
210.487763108502,284621.432933537,5713166.41347227,45,248.82,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000070.png"
210.487763108502,284606.31051856,5713196.78337557,45,238.24,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000071.png"
210.487763108502,284585.865136348,5713223.8574371,45,227.65,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000072.png"
210.487763108502,284560.79302987,5713246.71368216,45,217.06,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000073.png"
210.487763108502,284531.947999641,5713264.57376873,45,206.47,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000074.png"
210.487763108502,284500.31232857,5713276.829493,45,195.88,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000075.png"
210.487763108502,284466.963331493,5713283.06350096,45,185.29,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000076.png"
210.487763108502,284433.036668507,5713283.06350096,45,174.71,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000077.png"
210.487763108502,284399.68767143,5713276.829493,45,164.12,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000078.png"
210.487763108502,284368.052000359,5713264.57376873,45,153.53,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000079.png"
210.487763108502,284339.20697013,5713246.71368216,45,142.94,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000080.png"
210.487763108502,284314.134863652,5713223.8574371,45,132.35,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000081.png"
210.487763108502,284293.68948144,5713196.78337557,45,121.76,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000082.png"
210.487763108502,284278.567066463,5713166.41347227,45,111.18,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000083.png"
210.487763108502,284269.282594427,5713133.78193782,45,100.59,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000084.png"
210.487763108502,284266.152236892,5713100,45,90,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000085.png"
210.487763108502,284269.282594427,5713066.21806218,45,79.41,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000086.png"
210.487763108502,284278.567066463,5713033.58652773,45,68.82,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000087.png"
210.487763108502,284293.68948144,5713003.21662443,45,58.24,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000088.png"
210.487763108502,284314.134863652,5712976.1425629,45,47.65,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000089.png"
210.487763108502,284339.20697013,5712953.28631784,45,37.06,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000090.png"
210.487763108502,284368.052000359,5712935.42623127,45,26.47,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000091.png"
210.487763108502,284399.68767143,5712923.170507,45,15.88,0,26.64,"[284450, 5713100, 26.64]",FALSE,2,"movie-000092.png"
